Sweep step,Eigenmode,Job id,RPM,Eigenfrequencies
3,0,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,103.89855953828305
3,1,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,160.9925640661157
3,2,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,633.5357760386572
3,3,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,936.7728602888518
3,4,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,1744.3113942769542
3,5,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,2586.513866210541
3,6,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,3391.3521934475343
3,7,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,4254.667466351213
3,8,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,5013.821816988046
3,9,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,5569.843769854989
3,10,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,7644.774195186813
3,11,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,8190.936470876355
3,12,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-03,517.2413793103449,8266.488122888682
4,0,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,107.5591253986023
4,1,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,170.25776703810786
4,2,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,644.862385355053
4,3,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,945.6599409166381
4,4,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,1756.8819497749616
4,5,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,2595.4342539141685
4,6,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,3404.7824707890363
4,7,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,4254.825164680994
4,8,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,5023.11851158195
4,9,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,5583.762922746022
4,10,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-04,689.6551724137931,7645.257131351786
