freq;ampx;ampy;ampz;dc0x;cos1x;sin1x;cos2x;sin2x;cos3x;sin3x;dc0y;cos1y;sin1y;cos2y;sin2y;cos3y;sin3y;dc0z;cos1z;sin1z;cos2z;sin2z;cos3z;sin3z
2.59374221385327;0.006126539503314601;8.127144912690399e-14;4.565406392076091e-05;-5.31138632803539e-08;0.006126448355325001;6.202998783323887e-06;-5.311387297952463e-08;-9.901719518592496e-11;-1.507974666000056e-08;-4.251696771696407e-11;-2.862311890784916e-14;-2.407391154684595e-14;-2.507949387914937e-18;-2.855187545692409e-14;-7.456972019564678e-17;-2.25432152847717e-17;1.108856218632288e-19;-1.130401045272014e-05;-2.304615319199444e-05;-2.148314059234968e-08;-1.130397630782848e-05;-2.249923369278487e-08;7.603178214743467e-11;2.018158055325574e-13
2.85311637180115;0.006140265299501721;7.278058469821279e-14;4.580127827534596e-05;-5.33322119725375e-08;0.006140173798034321;6.85478113337984e-06;-5.333216844111722e-08;-1.096547929559119e-10;-1.51629130134025e-08;-4.714178575281206e-11;2.29149756765173e-14;2.713862180743035e-14;1.971024742959008e-16;2.277445678822828e-14;7.641152073460129e-17;-4.746957396314319e-17;-1.817016478544914e-18;-1.13538523558033e-05;-2.309368848726974e-05;-2.374031624140785e-08;-1.135381384696193e-05;-2.49182304089962e-08;7.641468901349558e-11;2.237586373247348e-13
3.138427924059326;0.00615695750320082;3.07263210714922e-13;4.598060426730867e-05;-5.359948628428685e-08;0.006156865568335673;7.582484867744717e-06;-5.359980770628718e-08;-1.216029247690095e-10;-1.526442884358854e-08;-5.236212450787431e-11;-7.533517673863151e-14;-1.565438386668544e-13;5.822814314771367e-17;-7.540832513543207e-14;-9.635078985355459e-17;2.412982599599116e-17;1.557233736719563e-19;-1.141461417855761e-05;-2.315149670257881e-05;-2.626035760596665e-08;-1.141457027419034e-05;-2.763737838155227e-08;7.688801808910355e-11;2.484898887163269e-13
3.452270602294457;0.006177280567451861;2.34336105696132e-13;4.619937453001357e-05;-5.392587962510067e-08;0.00617718810429437;8.397459010395185e-06;-5.392586648738531e-08;-1.350758596934339e-10;-1.538858862251427e-08;-5.828152666424792e-11;-5.549230409243125e-14;-1.232132715943594e-13;1.997298915537692e-16;-5.562138443663612e-14;-2.908623707929435e-17;-9.145572705186993e-18;1.102848933410042e-18;-1.148881219358367e-05;-2.322187820761887e-05;-2.908254182255169e-08;-1.148876159345201e-05;-3.070742363987321e-08;7.746464097985245e-11;2.764825985814881e-13
3.797497508397289;0.006202055634155202;8.265737717623328e-14;4.646671981961986e-05;-5.432580357018949e-08;0.006201962523499452;9.313559326381877e-06;-5.432563252117524e-08;-1.503635219462283e-10;-1.554078034147325e-08;-6.503279426708397e-11;2.691068964516736e-15;7.726451274889856e-14;-5.229023100660779e-17;2.749554744773065e-15;-3.857670179090481e-17;-4.775928195508488e-17;1.949815199535142e-19;-1.157959011226698e-05;-2.330767672885001e-05;-3.225481768271949e-08;-1.15795311538901e-05;-3.419196981839778e-08;7.81753872152552e-11;3.084051778504125e-13
4.177247050150041;0.006232309329586677;2.072503111332789e-14;4.679415422578239e-05;-5.481503952413918e-08;0.006232215427778038;1.034794781912563e-05;-5.481464496597348e-08;-1.678057178626174e-10;-1.572787585185768e-08;-7.279097302387851e-11;-9.977621030829405e-15;9.554922014027592e-16;2.899183403687082e-16;-9.83370998198098e-15;6.455533315074362e-17;-4.179210088525507e-17;-1.609704352020593e-18;-1.169092791909751e-05;-2.341244689093575e-05;-3.583656977816709e-08;-1.169085846120579e-05;-3.817203306248759e-08;7.90454566719636e-11;3.450362617808548e-13
4.57724667158975;0.006267673930259516;1.010012417337845e-13;4.717825538879379e-05;-5.539048397257465e-08;0.006267579097957626;1.147151939207699e-05;-5.539014497963351e-08;-1.8702077400254e-10;-1.594832706222882e-08;-8.139010220742895e-11;1.482272867681646e-14;7.151412573370362e-14;1.499009153125664e-16;1.471629429614457e-14;4.408445878009697e-17;-5.19069728801492e-17;6.067661324339765e-19;-1.182175157864212e-05;-2.353491445424983e-05;-3.972696890282473e-08;-1.182166943157133e-05;-4.255336124472511e-08;8.007566949265152e-11;3.857186576523593e-13
4.977246209479151;0.006306742392408729;3.422226517784632e-13;4.760427813225177e-05;-5.60287179569085e-08;0.006306646529498851;1.263437467634319e-05;-5.602825989006573e-08;-2.071209299267008e-10;-1.619406796847007e-08;-9.048983389745359e-11;-8.14120379073044e-14;-1.792499790720669e-13;-2.060349112808922e-16;-8.149922162671037e-14;-2.645686285010197e-16;-6.14131723815064e-17;2.201968610245113e-20;-1.196712518341401e-05;-2.367020568128871e-05;-4.375320495668236e-08;-1.196702848839535e-05;-4.715487483889896e-08;8.122084629644671e-11;4.285063956372155e-13
5.377245651945043;0.006349651821543754;1.500366664073677e-13;4.807423369934689e-05;-5.673420855394459e-08;0.006349554820053081;1.384131598525533e-05;-5.673392855464275e-08;-2.283499290008207e-10;-1.646664643568471e-08;-1.001605465841529e-10;-3.188050841985193e-14;-8.626032808474895e-14;-8.73610209239609e-17;-3.183480392492921e-14;-1.275314623643047e-16;-6.102597783758579e-17;1.090044995005118e-18;-1.21278172624428e-05;-2.38187949968503e-05;-4.793188240412264e-08;-1.212770393492714e-05;-5.200594698458598e-08;8.249487334506791e-11;4.74166485697917e-13
5.777244985757658;0.006396553215102073;4.540793522732687e-14;4.859036384642419e-05;-5.75109197858394e-08;0.00639645496160787;1.509754787923345e-05;-5.751039020984906e-08;-2.507413463364362e-10;-1.676781579206818e-08;-1.10481335557991e-10;-1.502018172834681e-14;1.515017118482619e-14;-1.303000550905862e-16;-1.523969615916473e-14;-9.452363408953619e-17;-2.113845010862285e-18;-2.599408949901466e-18;-1.230468781151339e-05;-2.398120443264579e-05;-5.228099781938174e-08;-1.230455550684389e-05;-5.713902819578206e-08;8.390457888043018e-11;5.226694746805412e-13
